学号,知识点id,分数
223401010231,5,100
223401010232,5,100
223401010233,5,100
223401010234,5,100
223401010235,5,100
223401010236,5,0
223401010237,5,100
223401010238,5,0
223401010301,5,100
223401010302,5,0
223401010303,5,100
223401010304,5,0
223401010305,5,100
223401010306,5,100
223401010307,5,100
223401010308,5,100
223401010310,5,100
223401010311,5,0
223401010312,5,0
223401010313,5,100
223401010314,5,100
223401010315,5,100
223401010316,5,100
223401010317,5,100
223401010318,5,0
223401010319,5,0
223401010320,5,0
223401010321,5,100
223401010322,5,0
223401010323,5,0
223401010324,5,100
223401010325,5,100
223401010326,5,0
223401010327,5,100
223401010328,5,100
223401010329,5,100
223401010330,5,100
223401010331,5,0
223401010332,5,100
223401010334,5,0
223401010335,5,100
223401010401,5,100
223401010402,5,100
223401010403,5,100
223401010404,5,0
223401010405,5,0
223401010406,5,0
223401010407,5,100
223401010408,5,100
223401010409,5,0
223401010410,5,100
223401010411,5,100
223401010412,5,100
223401010413,5,100
223401010414,5,0
223401010415,5,0
223401010416,5,0
223401010417,5,100
223401010418,5,100
223401010419,5,100
223401010420,5,0
223401010421,5,100
223401010422,5,0
223401010423,5,0
223401010424,5,100
223401010425,5,0
223401010426,5,0
223401010427,5,100
223401010428,5,0
223401010429,5,0
223401010430,5,100
223401010431,5,0
223401010432,5,100
223401010433,5,0
223401010434,5,100
223401010435,5,100
223401040101,5,100
223401040102,5,0
223401040103,5,0
223401040104,5,0
223401040105,5,0
223401040106,5,100
223401040107,5,100
223401040108,5,100
223401040109,5,0
223401040110,5,100
223401040111,5,100
223401040112,5,100
223401040113,5,0
223401040114,5,0
223401040115,5,100
223401040116,5,100
223401040117,5,0
223401040118,5,100
223401040119,5,0
223401040120,5,0
223401040121,5,100
223401040122,5,0
223401040123,5,0
223401040124,5,100
223401040125,5,100
223401040126,5,0
223401040127,5,0
223401040128,5,0
223401040129,5,0
223401040130,5,100
223401040131,5,0
223401040132,5,0
223401040133,5,0
223401040134,5,100
223401040135,5,0
223401040201,5,100
223401040202,5,100
223401040203,5,0
223401040204,5,100
223401040205,5,0
223401040206,5,0
223401040207,5,0
223401040208,5,100
223401040209,5,100
223401040210,5,0
223401040211,5,100
223401040212,5,100
223401040213,5,0
223401040214,5,100
223401040215,5,100
223401040216,5,0
223401040217,5,100
223401040218,5,100
223401040219,5,100
223401040220,5,100
223401040221,5,0
223401040222,5,100
223401040223,5,100
223401040224,5,100
223401040225,5,100
223401040226,5,100
223401040227,5,100
223401040228,5,0
223401040229,5,0
223401040230,5,100
223401040231,5,0
223401040232,5,100
223401040233,5,0
223401040234,5,100
223401040235,5,100
223401050101,5,100
223401050102,5,0
223401050103,5,100
223401050104,5,100
223401050105,5,100
223401050106,5,0
223401050107,5,100
223401050108,5,100
